IMPORTANTE,cod_universidad,des_universidad,anio,cod_pais_nacionalidad,des_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,des_genero,anio_nacimiento,des_tipo_personal_investigacion,des_modalidad_personal_investigacion,des_tipo_organismo,des_dedicacion,duracion_meses,des_titulo_doctorado,cod_pais_doctorado,des_pais_doctorado,lat_pais_doctorado,lon_pais_doctorado,cod_continente_doctorado,des_continente_doctorado,cod_agregacion_paises_doctorado,des_agregacion_paises_doctorado,cod_universidad_doctorado,des_universidad_doctorado,anio_lectura_tesis,anio_resolucion_convocatoria,anio_incorporacion,des_tipo_unidad_responsable,cod_unidad_responsable,des_unidad_responsable,cod_area,des_area
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1996,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,8,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1973,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,3,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1997,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-profesorado-universitario-FPU,Universidad,Dedicacion-a-Tiempo-Completo,48,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1996,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,2,Uno,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,036,Universidad-Carlos-III-de-Madrid,2020,2020,2013,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1983,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,19,No,,,,,,,,,,,,2020,2020,Departamento,55002537,Departamento-de-Bioingenieria-e-Ingenieria-Aeroespacial,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1980,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,16,No,,,,,,,,,,,,2020,2019,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1991,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-personal-investigador-FPI,Universidad,Dedicacion-a-Tiempo-Completo,12,No,,,,,,,,,,,,2020,2017,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1997,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Juan-de-la-Cierva,Universidad,Dedicacion-a-Tiempo-Completo,24,Uno,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,036,Universidad-Carlos-III-de-Madrid,2014,2020,2019,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1993,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,12,No,,,,,,,,,,,,2020,2020,Departamento,55001918,Departamento-de-Economia-de-la-Empresa,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1993,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,23,No,,,,,,,,,,,,2020,2019,Departamento,55001930,Departamento-de-Teoria-de-la-Senial-y-Comunicaciones,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,300,Grecia,150,Europa,39.074208,21.824312,039,Europa-meridional,Hombre,1994,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,14,No,,,,,,,,,,,,2020,2020,Departamento,55002537,Departamento-de-Bioingenieria-e-Ingenieria-Aeroespacial,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1997,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Completo,12,Uno,,,,,,,,,,,2014,2020,2020,Departamento,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1996,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Investigador-visitante,Universidad,Dedicacion-a-Tiempo-Completo,36,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1994,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,6,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1998,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,13,No,,,,,,,,,,,,2020,2020,Departamento,55001939,Departamento-de-Ciencia-e-Ingenieria-de-Materiales-e-Ingenieria-Quimica,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1997,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,17,No,,,,,,,,,,,,2020,2020,Departamento,55002537,Departamento-de-Bioingenieria-e-Ingenieria-Aeroespacial,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1997,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,4,No,,,,,,,,,,,,2020,2018,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1995,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,12,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1997,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-personal-investigador-FPI,Universidad,Dedicacion-a-Tiempo-Completo,24,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1995,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,12,No,,,,,,,,,,,,2020,2020,Departamento,55001934,Departamento-de-Ingenieria-Mecanica,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,380,Italia,150,Europa,41.87194,12.56738,039,Europa-meridional,Mujer,1990,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-personal-investigador-FPI,Universidad,Dedicacion-a-Tiempo-Completo,24,No,,,,,,,,,,,,2020,2017,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1997,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,20,No,,,,,,,,,,,,2020,2020,Departamento,55001916,Departamento-de-Economia,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1999,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,8,Uno,,,,,,,,,,,2017,2020,2015,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1993,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,8,No,,,,,,,,,,,,2020,2011,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1992,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,13,No,,,,,,,,,,,,2020,2020,Departamento,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1995,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,14,No,,,,,,,,,,,,2020,2019,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1994,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,3,Uno,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,010,Universidad-Complutense-de-Madrid,2019,2020,2020,Departamento,55001916,Departamento-de-Economia,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,380,Italia,150,Europa,41.87194,12.56738,039,Europa-meridional,Mujer,1982,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,10,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1988,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,16,No,,,,,,,,,,,,2020,2019,Departamento,55003472,Departamento-de-Ciencias-Sociales,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1995,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,4,No,,,,,,,,,,,,2020,2015,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1996,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,9,No,,,,,,,,,,,,2020,2020,Departamento,55001934,Departamento-de-Ingenieria-Mecanica,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1996,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,24,No,,,,,,,,,,,,2020,2020,Departamento,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1996,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,8,Uno,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,023,Universidad-Autonoma-de-Madrid,2017,2020,2019,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1970,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,12,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1995,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-profesorado-universitario-FPU,Universidad,Dedicacion-a-Tiempo-Completo,48,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1996,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,14,No,,,,,,,,,,,,2020,2019,Departamento,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1981,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,16,No,,,,,,,,,,,,2020,2020,Departamento,55001939,Departamento-de-Ciencia-e-Ingenieria-de-Materiales-e-Ingenieria-Quimica,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1992,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Investigador-visitante,Universidad,Dedicacion-a-Tiempo-Completo,2,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1995,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,8,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1984,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,16,Uno,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,036,Universidad-Carlos-III-de-Madrid,2016,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,807,Macedonia-del-Norte,150,Europa,41.608635,21.745275,039,Europa-meridional,Mujer,1993,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,8,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1998,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,11,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,807,Macedonia-del-Norte,150,Europa,41.608635,21.745275,039,Europa-meridional,Hombre,1998,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-personal-investigador-FPI,Universidad,Dedicacion-a-Tiempo-Completo,24,Uno,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,036,Universidad-Carlos-III-de-Madrid,2015,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Hombre,1997,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,15,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1996,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-personal-investigador-FPI,Universidad,Dedicacion-a-Tiempo-Completo,24,No,,,,,,,,,,,,2020,2019,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,380,Italia,150,Europa,41.87194,12.56738,039,Europa-meridional,Hombre,1997,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,11,Uno,724,Espania,40.463667,-3.74922,150,Europa,039,Europa-meridional,010,Universidad-Complutense-de-Madrid,2012,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1983,Investigador-de-convocatorias-publicas-competitivas-de-ambito-universitario-local-autonomico-estatal-o-internacional,Formacion-de-personal-investigador-FPI,Universidad,Dedicacion-a-Tiempo-Completo,24,No,,,,,,,,,,,,2020,2020,,,,,
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2020,724,Espania,150,Europa,40.463667,-3.74922,039,Europa-meridional,Mujer,1989,Personal-tecnico-de-apoyo-a-la-investigacion,Personal-tecnico-de-apoyo,Universidad,Dedicacion-a-Tiempo-Parcial,12,Uno,,,,,,,,,,,2018,2020,2012,,,,,
